run_id,arch,recipe_actual,variant,block,query_group,n_images,n_prefix,mass_cls_token,mass_register_tokens_total,mass_per_register_token,mass_patch_exceedance_total,mass_patch_total,n_register_tokens,register_index,mass_this_register_token,endpoint_class
legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,10,patch,1000,5,0.06137022812,0.2627920434,0.06569801086,0.03459218266,0.6758377075,4,all,MISSING,descriptive
legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,10,patch,1000,5,0.06137022812,0.2627920434,0.06569801086,0.03459218266,0.6758377075,4,0,0.1396844374,descriptive
legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,10,patch,1000,5,0.06137022812,0.2627920434,0.06569801086,0.03459218266,0.6758377075,4,1,0.03852272836,descriptive
legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,10,patch,1000,5,0.06137022812,0.2627920434,0.06569801086,0.03459218266,0.6758377075,4,2,0.04410130746,descriptive
legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,10,patch,1000,5,0.06137022812,0.2627920434,0.06569801086,0.03459218266,0.6758377075,4,3,0.04048357019,descriptive
legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,10,cls,1000,5,0.09905822495,0.4503529752,0.1125882438,0.01838781751,0.450588829,4,all,MISSING,descriptive
legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,10,cls,1000,5,0.09905822495,0.4503529752,0.1125882438,0.01838781751,0.450588829,4,0,0.03805329291,descriptive
legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,10,cls,1000,5,0.09905822495,0.4503529752,0.1125882438,0.01838781751,0.450588829,4,1,0.305210085,descriptive
legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,10,cls,1000,5,0.09905822495,0.4503529752,0.1125882438,0.01838781751,0.450588829,4,2,0.09948055446,descriptive
legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,10,cls,1000,5,0.09905822495,0.4503529752,0.1125882438,0.01838781751,0.450588829,4,3,0.007609042758,descriptive
legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,11,patch,1000,5,0.1235667057,0.472517739,0.1181294347,0.1429248056,0.4039155354,4,all,MISSING,descriptive
legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,11,patch,1000,5,0.1235667057,0.472517739,0.1181294347,0.1429248056,0.4039155354,4,0,0.03347884379,descriptive
legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,11,patch,1000,5,0.1235667057,0.472517739,0.1181294347,0.1429248056,0.4039155354,4,1,0.1629275221,descriptive
legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,11,patch,1000,5,0.1235667057,0.472517739,0.1181294347,0.1429248056,0.4039155354,4,2,0.1253030111,descriptive
legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,11,patch,1000,5,0.1235667057,0.472517739,0.1181294347,0.1429248056,0.4039155354,4,3,0.150808362,descriptive
legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,11,cls,1000,5,0.04487818311,0.669355823,0.1673389557,0.07373286558,0.2857660236,4,all,MISSING,descriptive
legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,11,cls,1000,5,0.04487818311,0.669355823,0.1673389557,0.07373286558,0.2857660236,4,0,0.004110420976,descriptive
legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,11,cls,1000,5,0.04487818311,0.669355823,0.1673389557,0.07373286558,0.2857660236,4,1,0.3562717799,descriptive
legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,11,cls,1000,5,0.04487818311,0.669355823,0.1673389557,0.07373286558,0.2857660236,4,2,0.2246342951,descriptive
legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,11,cls,1000,5,0.04487818311,0.669355823,0.1673389557,0.07373286558,0.2857660236,4,3,0.08433932707,descriptive
legacy_e2_vit_small_nomixdir_registers,vit_small,mixup,registers,10,patch,1000,5,0.02049533617,0.2866594644,0.0716648661,0.04419880448,0.6928451794,4,all,MISSING,descriptive
legacy_e2_vit_small_nomixdir_registers,vit_small,mixup,registers,10,patch,1000,5,0.02049533617,0.2866594644,0.0716648661,0.04419880448,0.6928451794,4,0,0.1682574745,descriptive
legacy_e2_vit_small_nomixdir_registers,vit_small,mixup,registers,10,patch,1000,5,0.02049533617,0.2866594644,0.0716648661,0.04419880448,0.6928451794,4,1,0.04877185406,descriptive
legacy_e2_vit_small_nomixdir_registers,vit_small,mixup,registers,10,patch,1000,5,0.02049533617,0.2866594644,0.0716648661,0.04419880448,0.6928451794,4,2,0.02239710394,descriptive
legacy_e2_vit_small_nomixdir_registers,vit_small,mixup,registers,10,patch,1000,5,0.02049533617,0.2866594644,0.0716648661,0.04419880448,0.6928451794,4,3,0.0472330319,descriptive
legacy_e2_vit_small_nomixdir_registers,vit_small,mixup,registers,10,cls,1000,5,0.09375915303,0.4353737729,0.1088434432,0.02415501389,0.4708671033,4,all,MISSING,descriptive
legacy_e2_vit_small_nomixdir_registers,vit_small,mixup,registers,10,cls,1000,5,0.09375915303,0.4353737729,0.1088434432,0.02415501389,0.4708671033,4,0,0.04478571293,descriptive
legacy_e2_vit_small_nomixdir_registers,vit_small,mixup,registers,10,cls,1000,5,0.09375915303,0.4353737729,0.1088434432,0.02415501389,0.4708671033,4,1,0.1069265067,descriptive
legacy_e2_vit_small_nomixdir_registers,vit_small,mixup,registers,10,cls,1000,5,0.09375915303,0.4353737729,0.1088434432,0.02415501389,0.4708671033,4,2,0.2675056644,descriptive
legacy_e2_vit_small_nomixdir_registers,vit_small,mixup,registers,10,cls,1000,5,0.09375915303,0.4353737729,0.1088434432,0.02415501389,0.4708671033,4,3,0.01615588883,descriptive
